design,design_hybrid_06_abucnasty,design_hybrid_05_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_01_abucnasty,design_35_henryjk,design_27_geist_fixed,design_18_lady_meyneth,design_14_abucnasty,design_12_phlap,design_08_lady_meyneth,design_01_undertow,design_00_baseline
burner_inserter_chest_to_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_direct_insertion,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_direct_insertion_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_engine_unit_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_iron_gear_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_iron_gear_wheel_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_building,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_building_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
