design,design_hybrid_06_abucnasty,design_hybrid_05_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_01_abucnasty,design_35_henryjk,design_27_geist_fixed,design_18_lady_meyneth,design_14_abucnasty,design_12_phlap,design_08_lady_meyneth,design_01_undertow,design_00_baseline
inserter_all_from_assembling_machine_3_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electronic_circuit_to_assembling_machine_3_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electronic_circuit_to_assembling_machine_3_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electronic_circuit_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electronic_circuit_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit,44,20,20,20,44,64,44,44,20,44,44,44,20
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,44,20,20,20,44,64,44,44,20,44,44,0,0
inserter_all_from_assembling_machine_3_engine_unit_circuit_set_filters,0,0,0,0,0,0,0,0,20,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack,44,0,0,0,44,64,44,44,0,44,44,44,0
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack_circuit_enabled,44,0,0,0,44,64,44,44,0,44,44,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_steel_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt,0,20,20,20,0,0,0,0,20,0,0,0,20
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt_circuit_enabled,0,20,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt_circuit_set_filters,0,0,0,0,0,0,0,0,20,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_iron_gear_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_iron_gear_wheel_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_pipe,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_pipe_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_pipe_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_pipe_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_belt,100,92,100,100,100,104,100,44,100,100,44,104,170
inserter_all_from_belt_circuit_enabled,100,88,100,100,100,96,100,44,100,100,44,8,0
inserter_all_from_belt_circuit_set_filters,0,0,0,0,0,0,88,0,0,0,0,0,0
inserter_all_from_building,182,126,138,138,182,488,129,262,138,226,262,176,124
inserter_all_from_building_circuit_enabled,164,96,112,112,164,480,110,204,112,172,204,24,0
inserter_all_from_building_circuit_set_filters,0,20,20,20,0,0,0,44,40,44,44,0,0
inserter_all_from_cargo_wagon,0,4,0,0,0,0,0,8,0,0,8,0,0
inserter_all_from_cargo_wagon_circuit_enabled,0,4,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_engine_unit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_engine_unit_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0,4,0,0,0,0,0,8,0,0,8,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,4,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_sulfur,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_sulfur_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_sulfur_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_sulfur_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chest,0,34,20,20,0,8,0,8,20,0,8,8,0
inserter_all_from_chest_circuit_enabled,0,28,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_chest_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar,8,8,8,8,8,0,8,8,8,8,8,8,4
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,8,8,8,8,8,0,8,8,8,8,8,8,0
inserter_all_from_cryogenic_plant_plastic_bar_to_assembling_machine_3_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_assembling_machine_3_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,8,8,8,8,8,0,8,8,8,8,8,8,0
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8,8,8,8,8,0,8,8,8,8,8,8,0
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,4
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_sulfur,2,2,2,2,2,8,2,2,2,2,2,4,4
inserter_all_from_cryogenic_plant_sulfur_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_sulfur_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_sulfur_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_sulfur_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,2,2,2,2,2,8,2,2,2,0,2,2,4
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_sulfur_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,2,0,2,0
inserter_all_from_cryogenic_plant_sulfur_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit,8,8,8,8,8,64,8,8,8,8,8,8,12
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,8,8,8,8,8,64,6,8,8,8,8,8,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,64,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,64,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,8,6,8,8,8,0,8,8,8,4,8,8,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,8,6,8,8,8,0,6,8,8,4,8,8,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt,0,2,0,0,0,0,0,0,0,4,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt_circuit_enabled,0,2,0,0,0,0,0,0,0,4,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit,4,8,4,4,4,32,4,8,4,4,8,4,4
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,0,8,0,0,0,32,0,8,0,0,8,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0,4,0,0,0,0,0,8,0,0,8,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0,4,0,0,0,0,0,8,0,0,8,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest,0,4,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest_circuit_enabled,0,4,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,4,0,4,4,4,0,4,0,4,4,0,0,4
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,4,0
inserter_all_from_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_express_underground_belt_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_express_underground_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_express_underground_belt_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_express_underground_belt_to_assembling_machine_3_engine_unit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_express_underground_belt_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_fast_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable,20,12,28,28,20,96,11,12,28,22,12,14,16
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,16,8,28,28,16,96,8,0,28,22,0,8,0
inserter_all_from_foundry_casting_copper_cable_to_assembling_machine_3_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_assembling_machine_3_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_assembling_machine_3_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_assembling_machine_3_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon,0,0,0,0,0,0,0,8,0,0,8,0,0
inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,16,8,16,16,16,64,8,0,16,16,0,8,0
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,16,8,16,16,16,64,8,0,16,16,0,8,0
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,4,4,12,12,4,32,3,4,12,6,4,6,0
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,12,12,0,32,0,0,12,6,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,16
inserter_all_from_foundry_casting_copper_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_assembling_machine_3_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_assembling_machine_3_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron,4,4,4,4,4,32,1,4,4,2,4,2,4
inserter_all_from_foundry_casting_iron_circuit_enabled,0,0,4,4,0,32,0,4,4,2,4,0,0
inserter_all_from_foundry_casting_iron_gear_wheel,0,0,0,0,0,0,2,44,0,4,44,2,4
inserter_all_from_foundry_casting_iron_gear_wheel_circuit_enabled,0,0,0,0,0,0,0,44,0,0,44,0,0
inserter_all_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,44,0,0,44,0,0
inserter_all_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit_circuit_enabled,0,0,0,0,0,0,0,44,0,0,44,0,0
inserter_all_from_foundry_casting_iron_gear_wheel_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_gear_wheel_to_turbo_transport_belt,0,0,0,0,0,0,2,0,0,0,0,2,4
inserter_all_from_foundry_casting_iron_gear_wheel_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_gear_wheel_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,4,0,0,0
inserter_all_from_foundry_casting_iron_to_assembling_machine_3_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_to_assembling_machine_3_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,4,4,4,4,4,32,1,4,4,2,4,2,4
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,4,4,0,32,0,4,4,2,4,0,0
inserter_all_from_foundry_casting_iron_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe,0,0,0,0,0,0,3,44,0,44,44,44,4
inserter_all_from_foundry_casting_pipe_circuit_enabled,0,0,0,0,0,0,0,44,0,44,44,0,0
inserter_all_from_foundry_casting_pipe_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,44,0,44,44,44,0
inserter_all_from_foundry_casting_pipe_to_assembling_machine_3_engine_unit_circuit_enabled,0,0,0,0,0,0,0,44,0,44,44,0,0
inserter_all_from_foundry_casting_pipe_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe_to_express_splitter,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe_to_express_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe_to_turbo_transport_belt,0,0,0,0,0,0,3,0,0,0,0,0,4
inserter_all_from_foundry_casting_pipe_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_pipe_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_steel,0,0,0,0,0,0,2,44,0,44,44,2,4
inserter_all_from_foundry_casting_steel_circuit_enabled,0,0,0,0,0,0,0,44,0,44,44,0,0
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,44,0,44,44,0,0
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_engine_unit_circuit_enabled,0,0,0,0,0,0,0,44,0,44,44,0,0
inserter_all_from_foundry_casting_steel_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_steel_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_steel_to_turbo_transport_belt,0,0,0,0,0,0,2,0,0,0,0,2,4
inserter_all_from_foundry_casting_steel_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe,48,20,20,20,48,96,0,0,20,0,0,0,0
inserter_all_from_foundry_set_recipe_circuit_enabled,44,0,0,0,44,96,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_circuit_set_filters,0,20,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_foundry_set_recipe_to_assembling_machine_3_engine_unit,44,0,0,0,44,96,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_to_assembling_machine_3_engine_unit_circuit_enabled,44,0,0,0,44,96,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_to_steel_chest,0,20,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_foundry_set_recipe_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_to_steel_chest_circuit_set_filters,0,20,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_foundry_set_recipe_to_turbo_transport_belt,4,0,0,0,4,0,0,0,0,0,0,0,0
inserter_all_from_infinity_chest,0,0,0,0,0,0,0,0,0,0,0,8,0
inserter_all_from_infinity_chest_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,4,0
inserter_all_from_infinity_chest_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,4,0
inserter_all_from_iron_chest,0,0,0,0,0,8,0,0,0,0,0,0,0
inserter_all_from_iron_chest_to_turbo_transport_belt,0,0,0,0,0,8,0,0,0,0,0,0,0
inserter_all_from_steel_chest,0,30,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_steel_chest_circuit_enabled,0,24,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_steel_chest_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_engine_unit,0,20,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_engine_unit_circuit_enabled,0,20,20,20,0,0,0,0,20,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_engine_unit_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit,0,4,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,4,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_steel_chest,0,6,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_stone_furnace_undefined,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_stone_furnace_undefined_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_stone_furnace_undefined_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_stone_furnace_undefined_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_stone_furnace_undefined_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_stone_furnace_undefined_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_splitter,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt,100,90,100,100,100,40,88,44,100,96,44,8,166
inserter_all_from_turbo_transport_belt_circuit_enabled,100,88,100,100,100,32,88,44,100,96,44,0,0
inserter_all_from_turbo_transport_belt_circuit_set_filters,0,0,0,0,0,0,88,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack,44,88,88,88,44,0,44,44,88,44,44,4,92
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,44,88,88,88,44,0,44,44,88,44,44,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack_circuit_set_filters,0,0,0,0,0,0,44,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_engine_unit,44,0,0,0,44,0,44,0,0,44,0,4,40
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_engine_unit_circuit_enabled,44,0,0,0,44,0,44,0,0,44,0,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_engine_unit_circuit_set_filters,0,0,0,0,0,0,44,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_chemical_plant_plastic_bar,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_chemical_plant_plastic_bar_circuit_enabled,0,0,0,0,0,32,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,4,2,4,4,4,0,0,0,4,0,0,0,2
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar_circuit_enabled,4,0,4,4,4,0,0,0,4,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,8,0,8,8,8,0,0,0,8,8,0,0,24
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8,0,8,8,8,0,0,0,8,8,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,8
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_express_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_express_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_fast_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_fast_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,0,0,0,0,0,0,0,0,0,0,0,0,0
