entity,00_baseline,01_geist,02_geist,03_swiftdeath007,04_goirelandbrad,05_flexime,06_mulain,07_rydberg,08_derantrix,09_azhrei,10_thaeln,11_thaeln,13_yuu,14_redphoenixq,15_yoyonas,16_teaz,17_akaravortex,18_akaravortex,19_akaravortex,20_groot_opperhoofd,21_em,22_warbaque,23_warbaque,24_syvkal,25_mcmayhem57,26_galacta487,27_theflyingcurryfish154,28_erichteia,29_the_end
beacons_per_foundry_casting_iron_stick_recipe,9,10,4,9.5,5.714285714285714,4,5.25,2,8.5,4.444444444444445,7,8,4.1,7,6,0,11,11,9,6,5.833333333333333,5.555555555555555,5.555555555555555,10,2,4,4,1,4.5
beacons_per_foundry_casting_steel_recipe,13,9.076923076923077,3.076923076923077,8,6,5.714285714285714,4.666666666666667,4.666666666666667,9.666666666666666,5.714285714285714,7.833333333333333,8.545454545454545,4.617021276595745,8.25,6.666666666666667,6,10.666666666666666,10.666666666666666,5,10,6.888888888888889,5.333333333333333,5.333333333333333,9.454545454545455,7.2631578947368425,5,4.888888888888889,1.875,9.384615384615385
beacons_per_foundry_molten_copper_recipe,7,7,7,7,7,7,7,7,7,7,7,7,13,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7.5,7
beacons_per_foundry_molten_iron_recipe,7,7,7,7,7,7,7,7,7,7,7,7,13,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7.333333333333333,7
beacons_per_foundry_set_recipe_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_oil_refinery,8,16,16,11.5,9,7,16,13,15,10.75,9.5,9.5,16,10,10,16,10,10,10,11.666666666666666,16,13,13,16,16,3.75,16,16,6
beacons_per_oil_refinery_basic_oil_processing_recipe,8,16,16,11.5,9,7,16,13,15,10.75,9.5,9.5,16,10,10,16,10,10,10,11.666666666666666,16,13,13,16,16,3.75,16,16,6
big_electric_pole,0,0,34,2,0,2,2,3,4,2,2,4,1,0,8,19,2,3,2,2,4,8,3,18,2,1,9,5,2
big_mining_drill,50,54,62,76,50,74,12,10,58,50,23,35,20,50,50,36,58,62,82,50,52,50,50,70,72,50,10,10,10
big_mining_drill_circuit_enabled,0,0,48,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
cargo_wagon,32,0,0,0,0,16,32,32,0,32,0,0,288,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0
chemical_plant,16,0,24,0,0,0,0,0,24,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0
constant_combinator,36,146,148,1,68,108,88,33,144,223,77,93,0,24,30,239,8,16,56,4,13,150,196,115,24,3,309,36,4
cryogenic_plant,0,20,8,24,4,16,16,16,0,16,12,12,2,4,2,14,24,48,24,9,16,16,16,14,14,8,7,24,16
cryogenic_plant_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
curved_rail_a,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curved_rail_b,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decider_combinator,0,94,132,24,28,84,80,40,96,27,62,64,4,28,22,91,46,36,25,23,28,35,31,58,58,25,68,105,28
display_panel,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,24,24,20,1,0,0,0,0,0,0,0,0,0
electric_energy_interface,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
electric_furnace,32,40,48,48,48,48,48,48,32,40,40,40,54,32,32,48,32,64,40,36,32,48,48,32,48,32,40,48,36
electric_mining_drill,0,0,28,0,0,0,80,80,0,0,56,44,6,0,0,32,0,0,0,0,0,0,0,0,0,0,72,104,64
electric_mining_drill_circuit_enabled,0,0,28,0,0,0,80,0,0,0,56,44,0,0,0,32,0,0,0,0,0,0,0,0,0,0,72,56,64
electromagnetic_plant,60,88,96,112,112,68,72,72,96,74,76,76,105,68,44,120,96,192,96,54,66,52,52,54,76,72,82,88,84
electromagnetic_plant_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,2,0,0,0,0,0,0,0
express_splitter,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
express_transport_belt,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
express_underground_belt,80,0,0,14,0,0,0,0,0,63,12,8,0,0,0,0,0,0,0,164,12,0,0,0,0,0,0,0,0
fast_inserter,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fast_inserter_from_chest,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fast_inserter_from_infinity_chest,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fast_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
foundry,72,99,102,102,88,104,106,100,80,129,87,83,149,80,58,90,84,164,88,70,68,78,78,68,106,72,148,200,116
foundry_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
infinity_chest,5,5,5,5,5,5,5,5,5,5,5,5,13,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5
infinity_pipe,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1
inserter_all,953,701,665,761,1005,889,651,673,785,774,610,610,857,741,675,806,713,1389,645,678,673,809,809,691,751,725,774,809,609
inserter_all_chest_to_chest,0,0,0,0,0,24,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
inserter_all_direct_insertion,168,344,400,456,536,324,336,280,376,297,332,332,390,328,172,500,384,768,412,248,250,384,384,200,308,256,480,432,322
inserter_all_direct_insertion_circuit_enabled,0,344,400,320,192,192,292,224,376,265,204,196,0,264,0,484,248,608,276,244,250,352,352,200,224,0,480,304,108
inserter_all_direct_insertion_percent,17.628541448058762,49.07275320970042,60.150375939849624,59.92115637319316,53.333333333333336,36.445444319460066,51.61290322580645,41.60475482912333,47.898089171974526,38.372093023255815,54.42622950819672,54.42622950819672,45.5075845974329,44.26450742240216,25.48148148148148,62.03473945409429,53.85694249649369,55.291576673866096,63.87596899224807,36.57817109144543,37.147102526002975,47.46600741656366,47.46600741656366,28.94356005788712,41.011984021304926,35.310344827586206,62.01550387596899,53.399258343634116,52.87356321839081
inserter_all_from_assembling_machine_3_electric_furnace,16,20,24,16,16,24,16,16,16,20,20,20,27,16,12,16,16,32,24,12,16,16,16,16,24,16,20,16,18
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,0,20,24,16,16,24,16,16,16,20,20,20,0,16,12,16,16,32,24,12,16,16,16,16,20,16,20,16,18
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16,20,16,16,16,24,0,16,16,20,20,20,27,0,12,16,16,32,24,0,14,16,16,16,24,16,20,0,0
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,0,20,16,16,16,24,0,16,16,20,20,20,0,0,12,16,16,32,24,0,14,16,16,16,20,16,20,0,0
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_input,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,16,0
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_input_circuit_enabled,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,16,0
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_output,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_output_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
inserter_all_from_assembling_machine_3_production_science_pack,64,56,56,56,56,64,64,64,56,50,56,56,72,64,64,64,56,112,56,64,60,64,64,56,52,64,64,56,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,0,56,56,56,8,64,64,64,56,50,52,56,0,64,64,64,56,112,56,64,60,64,64,56,48,64,64,56,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_set_filters,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64,56,32,56,56,64,64,64,56,50,56,56,4,64,64,64,56,112,8,8,56,64,64,56,52,64,64,48,52
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,0,56,32,56,8,64,64,64,56,50,52,56,0,64,64,64,56,112,8,8,56,64,64,56,48,64,64,48,52
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_set_filters,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_input,0,0,24,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,24,56,0,0,0,0,0,0,0,8,0
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_input_circuit_enabled,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,56,0,0,0,0,0,0,0,8,0
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,4
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_output_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,4
inserter_all_from_assembling_machine_3_rail,64,56,56,56,112,128,64,64,56,50,56,56,72,64,64,64,56,112,56,64,60,64,64,56,52,64,64,56,56
inserter_all_from_assembling_machine_3_rail_circuit_enabled,0,56,56,0,96,128,64,64,56,50,0,0,0,64,0,64,0,112,0,64,60,64,64,56,48,0,64,0,0
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64,56,56,56,112,128,64,64,56,0,56,56,72,64,64,64,56,112,56,64,60,64,64,56,52,64,64,56,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,0,56,56,0,96,128,64,64,56,0,0,0,0,64,0,64,0,112,0,64,60,64,64,56,48,0,64,0,0
inserter_all_from_assembling_machine_3_rail_to_steel_chest,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_rail_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_belt,392,156,100,184,324,224,122,152,200,197,109,109,125,224,280,168,184,332,112,245,198,272,272,152,198,256,99,160,98
inserter_all_from_belt_circuit_enabled,0,96,56,120,164,144,96,128,136,161,76,76,0,184,200,156,120,208,80,133,98,264,264,72,140,8,91,112,90
inserter_all_from_belt_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
inserter_all_from_building,400,488,528,576,680,556,496,488,536,494,464,464,597,500,390,632,512,1024,532,432,426,536,536,412,496,464,626,576,468
inserter_all_from_building_circuit_enabled,0,464,504,440,232,376,452,432,520,462,320,316,0,408,150,616,376,864,396,428,418,476,476,388,364,204,626,432,224
inserter_all_from_building_circuit_set_filters,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
inserter_all_from_car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
inserter_all_from_car_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
