save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
05_derantrix,6,54435.831,1.512,0.768,4.619,661.3291161110409,13.335972473640373,36000,2.0.66,windows-x86_64
05_derantrix,7,54248.293,1.507,0.807,4.875,663.6153509936248,13.335972473640373,36000,2.0.66,windows-x86_64
05_derantrix,8,54237.364,1.507,0.772,4.099,663.7490715809861,13.335972473640373,36000,2.0.66,windows-x86_64
05_derantrix,9,55627.543,1.545,0.826,4.12,647.1614250516152,13.335972473640373,36000,2.0.66,windows-x86_64
23_mcmayhem57,0,54164.835,1.505,0.818,5.077,664.637859600237,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,1,54156.112,1.504,0.834,5.373,664.7449137412227,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,2,54823.409,1.523,0.834,5.004,656.6538027578694,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,3,54300.766,1.508,0.805,5.246,662.974072962433,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,4,54162.732,1.505,0.809,4.72,664.6636657840671,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,5,54068.032,1.502,0.815,5.896,665.8278222517882,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,6,54553.361,1.515,0.833,4.902,659.9043457652408,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,7,54120.332,1.503,0.817,5.698,665.1843894823113,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,8,53366.301,1.482,0.83,5.736,674.5830107280623,14.138486259673385,36000,2.0.66,windows-x86_64
23_mcmayhem57,9,54230.005,1.506,0.803,4.674,663.8391421870605,14.138486259673385,36000,2.0.66,windows-x86_64
06_imp,0,52169.542,1.449,0.687,4.861,690.057811893384,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,1,52407.218,1.456,0.673,5.587,686.9282777040369,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,2,52597.436,1.461,0.686,5.404,684.4440097802486,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,3,52386.279,1.455,0.705,4.499,687.2028456153566,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,4,52346.551,1.454,0.704,4.933,687.724392768494,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,5,52024.351,1.445,0.681,4.753,691.9836443514691,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,6,52293.169,1.453,0.687,4.595,688.426436730197,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,7,52847.409,1.468,0.698,5.512,681.206528024865,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,8,52179.219,1.449,0.705,4.703,689.9298358605176,18.171557632955828,36000,2.0.66,windows-x86_64
06_imp,9,52186.059,1.45,0.701,5.541,689.8394071106231,18.171557632955828,36000,2.0.66,windows-x86_64
30_reja,0,50885.287,1.413,0.633,5.508,707.473655400627,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,1,50906.688,1.414,0.638,5.454,707.1762358611898,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,2,50839.364,1.412,0.666,5.762,708.1127136051505,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,3,50780.412,1.411,0.618,5.373,708.9347758738153,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,4,50907.622,1.414,0.641,5.725,707.1632613285295,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,5,50478.828,1.402,0.668,5.671,713.1702820041701,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,6,51300.277,1.425,0.676,5.779,701.7505967852766,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,7,50739.977,1.409,0.668,5.468,709.49973036054,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,8,51323.041,1.426,0.642,6.109,701.4393398863485,21.52551263764393,36000,2.0.66,windows-x86_64
30_reja,9,50831.14,1.412,0.654,5.562,708.2272795770467,21.52551263764393,36000,2.0.66,windows-x86_64
29_geist,0,50390.226,1.4,0.702,4.949,714.4242615621529,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,1,50467.987,1.402,0.715,5.354,713.3234777127132,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,2,50437.75,1.401,0.713,4.968,713.7511090403517,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,3,50545.665,1.404,0.695,4.853,712.2272503487687,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,4,50503.615,1.403,0.686,4.914,712.820260490264,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,5,50593.085,1.405,0.702,5.322,711.5596923966981,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,6,50679.811,1.408,0.723,4.935,710.3420334381278,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,7,50490.284,1.403,0.721,5.051,713.0084671339936,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,8,52191.218,1.45,0.741,5.447,689.7712178320882,22.044860236062004,36000,2.0.66,windows-x86_64
29_geist,9,50565.574,1.405,0.717,4.859,711.946827697437,22.044860236062004,36000,2.0.66,windows-x86_64
32_reja,0,48520.093,1.348,0.51,4.775,741.960655351588,23.34297426809523,36000,2.0.66,windows-x86_64
