entity,design_00_baseline,design_01_undertow,design_02_swiftdeath007,design_03_swiftdeath007,design_04_swiftdeath007,design_05_derantrix,design_06_imp,design_07_osboz,design_08_lady_meyneth,design_09_jobo,design_10_ztirom22,design_11_theflyingcurryfish154,design_12_phlap,design_13_phlap,design_14_abucnasty_Stage_1,design_14_abucnasty_Stage_2,design_14_abucnasty_Stage_3,design_14_abucnasty,design_17_henryjk,design_18_lady_meyneth,design_19_werezwolf,design_20_toda1,design_21_syvkal_STAGE_0,design_21_syvkal_STAGE_1,design_21_syvkal_STAGE_2,design_22_mcmayhem57,design_23_mcmayhem57,design_24_mcmayhem57,design_25_ashtroboy_1,design_25_ashtroboy_Paste_after_sulfur_rounds_corner_and_imediatly_after_lamp_blinks,design_25_ashtroboy_Final_State_(Only_for_comparison_will_not_work),design_26_mrcooki4,design_27_geist_fixed,design_28_geist,design_29_geist,design_30_reja,design_31_minebuilder,design_32_reja,design_33_syvkal_STAGE_0,design_33_syvkal_STAGE_1,design_33_syvkal_STAGE_2,design_34_osboz,design_35_henryjk,design_hybrid_01_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_05_thaeln_abucnasty_Stage_1,design_hybrid_05_thaeln_abucnasty,design_hybrid_06_abucnasty
beacons_per_chemical_plant_sulfur_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_cryogenic_plant,2.5,5.6,2.5714285714285716,2.5,5.5,8,2.48,5.5,9.8,2.6666666666666665,4,15,9.333333333333334,9.333333333333334,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,9,4.2,5,3.4565217391304346,8.8,8.8,8.8,15.5,15.5,15.5,16,16,16,3.1666666666666665,7,7,4.625,4,0,6.5,8.8,8.8,8.8,5.5,9,7.666666666666667,7.666666666666667,7.666666666666667,6,6,7.666666666666667
beacons_per_cryogenic_plant_plastic_bar_recipe,3,5,1,1,3.3333333333333335,0,2,2,8.25,3,6,14,6,6,4,4,4,4,0,3.25,8,4.826086956521739,7,7,7,15,15,15,0,0,0,2,8,8,5.785714285714286,3,0,6,7,7,7,2,0,4,4,4,5,5,4
beacons_per_cryogenic_plant_sulfur_recipe,2,8,12,4,12,8,14,9,16,2,0,16,16,16,15,15,15,15,9,8,2,2.0869565217391304,16,16,16,16,16,16,16,16,16,9,3,3,4,5,0,7,16,16,16,9,9,15,15,15,10,10,15
beacons_per_electromagnetic_plant,5,9.4,5.5,0,8,8.6,2.5,4.9,8.5,4,8.5,6,9.6,9.6,9.666666666666666,9.666666666666666,9.666666666666666,9.666666666666666,4.75,8.666666666666666,4.4,4.5,10,10,10,6.444444444444445,6.444444444444445,6.444444444444445,0,4.5,4.5,6,10,10,5.185185185185185,10,0.75,10.2,10,10,10,5.7,4.75,9.666666666666666,9.666666666666666,9.666666666666666,9.333333333333334,9.333333333333334,9.666666666666666
beacons_per_electromagnetic_plant_advanced_circuit_recipe,6,10,6,0,8,10,3,7,11,4.666666666666667,12,9,10,10,10,10,10,10,5,11,4.75,3,10,10,10,8,8,8,0,4,4,8,10,10,5,12,1,12,10,10,10,7,5,10,10,10,10,10,10
beacons_per_electromagnetic_plant_copper_cable_recipe,0,0,0,0,0,0,0,1.8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2,7,5,0,0,3,2,3.8,3.5,2,5,4,8,8,9,9,9,9,4.5,4,3,6,10,10,10,6,6,6,0,5,5,4,10,10,10,2,0,3,10,10,10,3.8,4.5,9,9,9,8,8,9
beacons_per_foundry,4.142857142857143,7.333333333333333,2.325,1.2,4.103448275862069,3.8,4.743589743589744,4.625,7.7894736842105265,3.25,2.5454545454545454,12.523809523809524,8.125,12.375,9.6,9.6,9.6,9.6,6.869565217391305,7.894736842105263,5.882352941176471,3.3304347826086955,7.444444444444445,7.444444444444445,7.444444444444445,7.565217391304348,6.5,12.6,6.146341463414634,6.146341463414634,6.146341463414634,9.428571428571429,11.777777777777779,11.222222222222221,8.4,4.4,0,5.2,7.444444444444445,7.444444444444445,7.444444444444445,5.5,6.869565217391305,6.615384615384615,9.6,9.6,8.571428571428571,8.571428571428571,6.615384615384615
beacons_per_foundry_casting_copper_cable_recipe,3,6.333333333333333,2,2,5,6,4.5,0,7.5,1,4,0,9.2,9.2,6.5,6.5,6.5,6.5,6.4,7.5,0,3.9130434782608696,10.6,10.6,10.6,0,0,0,6,6,6,3.3333333333333335,9.4,9.4,6.133333333333334,4,0,6,10.6,10.6,10.6,0,6.4,4.75,6.5,6.5,5.333333333333333,5.333333333333333,4.75
beacons_per_foundry_casting_copper_recipe,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
beacons_per_foundry_casting_iron_gear_wheel_recipe,3,8,2,1,2.7142857142857144,3,4,4,9.833333333333334,0,1,15,14,0,0,0,0,0,0,9.833333333333334,5.714285714285714,7,7,7,7,9,5.5,16,0,0,0,16,16,0,0,4,0,5,7,7,7,4,0,0,0,0,0,0,0
beacons_per_foundry_casting_iron_recipe,3,5,3,1,4.666666666666667,4,3,5,9,1,1.75,16,12,12,10,10,10,10,6,11,5,3,13,13,13,6,6,6,4,4,4,10.4,11,11,10,5,0,5,13,13,13,7,6,10,10,10,6,6,10
beacons_per_foundry_casting_pipe_recipe,6,7.5,3,1,9,3,6,3,6.090909090909091,0,2,12,5.666666666666667,0,0,0,0,0,0,6.090909090909091,5.714285714285714,1.7391304347826086,7,7,7,3.7142857142857144,6,16,0,0,0,16,16,0,0,5,0,5,7,7,7,4,0,0,0,0,0,0,0
beacons_per_foundry_casting_steel_recipe,5,11,1,1,3,3,5.166666666666667,4,7.090909090909091,0,2,15,8.090909090909092,0,0,0,0,0,0,7.090909090909091,6,1,7,7,7,16,16,16,0,0,0,16,16,0,0,4,0,5,7,7,7,5,0,0,0,0,0,0,0
beacons_per_foundry_molten_copper_recipe,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
beacons_per_foundry_molten_iron_recipe,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0
beacons_per_foundry_set_recipe_recipe,0,0,0,0,0,0,0,0,0,4,0,0,0,14,12,12,12,12,8,0,0,0,0,0,0,0,0,0,12,12,12,0,0,12,12,0,0,0,0,0,0,0,8,7.125,12,12,12,12,7.125
beacons_per_oil_refinery,10,8,16,16,16,8,16,4.75,16,12,2.5,15.857142857142858,16,16,14,14,14,14,16,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.75,16,9,14,14,7,7,9
beacons_per_oil_refinery_advanced_oil_processing_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_oil_refinery_basic_oil_processing_recipe,10,8,16,16,16,8,16,4.75,16,12,2.5,15.857142857142858,16,16,14,14,14,14,16,8,16,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.75,16,9,14,14,7,7,9
beacons_per_stone_furnace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03576751117734724,0,0,0,0,0,0,0,0,0,0,0,0
big_electric_pole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big_mining_drill,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big_mining_drill_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bottomless_chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_chest_to_chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_chest_to_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_direct_insertion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_direct_insertion_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_engine_unit_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_iron_gear_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_iron_gear_wheel_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_pipe_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0
