entity,00_baseline,01_undertow,02_swiftdeath007,03_swiftdeath007,04_swiftdeath007,05_derantrix,06_imp,07_osboz,08_lady_meyneth,09_jobo,10_ztirom22,11_theflyingcurryfish154,12_phlap,13_phlap,14_abucnasty_Stage_1,14_abucnasty_Stage_2,14_abucnasty_Stage_3,14_abucnasty,17_henryjk,18_lady_meyneth,19_werezwolf,20_toda1,21_syvkal_STAGE_0,21_syvkal_STAGE_1,21_syvkal,22_mcmayhem57,23_mcmayhem57,24_mcmayhem57,25_ashtroboy_1,25_ashtroboy_Paste_after_sulfur_rounds_corner_and_imediatly_after_lamp_blinks,25_ashtroboy,26_mrcooki4,27_geist,28_geist,29_geist,30_reja,31_minebuilder,32_reja,33_syvkal_STAGE_0,33_syvkal_STAGE_1,33_syvkal,34_osboz,35_henryjk
burner-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_copper-cable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_copper-cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_copper-cable_to_electromagnetic-plant_advanced-circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_copper-cable_to_electromagnetic-plant_electronic-circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_electronic-circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
burner-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
burner-inserter_from_express-underground-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
burner-inserter_from_express-underground-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
burner-inserter_from_express-underground-belt_to_assembling-machine-3_chemical-science-pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
burner-inserter_from_express-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
burner-inserter_from_express-underground-belt_to_turbo-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_fast-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
burner-inserter_from_steel-chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
burner-inserter_from_steel-chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
burner-inserter_from_steel-chest_to_steel-chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
burner-inserter_from_steel-chest_to_steel-chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
burner-inserter_from_stone-furnace_undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0
burner-inserter_from_stone-furnace_undefined_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0
burner-inserter_from_stone-furnace_undefined_to_turbo-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
burner-inserter_from_stone-furnace_undefined_to_turbo-transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
burner-inserter_from_stone-furnace_undefined_to_turbo-underground-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0
