save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
q5_stack,0,60906.39,8.459,4.989,18.487,118.21419722955177,0,7200,2.0.64,windows-x86_64
q5_stack,1,61870.594,8.593,5.115,18.325,116.37192298493207,0,7200,2.0.64,windows-x86_64
q5_stack,2,61022.59,8.475,4.895,17.854,117.98909223617025,0,7200,2.0.64,windows-x86_64
q5_stack,3,59967.726,8.329,4.93,17.656,120.06458273905534,0,7200,2.0.64,windows-x86_64
q5_stack,4,60256.19,8.369,4.943,18.072,119.48979847547612,0,7200,2.0.64,windows-x86_64
q5_stack,5,61641.222,8.561,5.037,18.178,116.80495237424073,0,7200,2.0.64,windows-x86_64
q4_stack,0,58642.341,8.145,4.665,18.846,122.77818172367982,3.6879444065512126,7200,2.0.64,windows-x86_64
q4_stack,1,58810.495,8.168,4.756,17.864,122.42712801516123,3.6879444065512126,7200,2.0.64,windows-x86_64
q4_stack,2,58743.262,8.159,4.892,17.952,122.56724864887482,3.6879444065512126,7200,2.0.64,windows-x86_64
q4_stack,3,57898.748,8.041,4.694,18.101,124.35502059560943,3.6879444065512126,7200,2.0.64,windows-x86_64
q4_stack,4,58614.017,8.141,4.667,18.044,122.83751171669398,3.6879444065512126,7200,2.0.64,windows-x86_64
q4_stack,5,59942.771,8.325,4.805,18.1,120.11456727617747,3.6879444065512126,7200,2.0.64,windows-x86_64
