design,29_the_end,28_erichteia,27_theflyingcurryfish154,19_akaravortex,11_thaeln,10_thaeln,07_rydberg,06_mulain,02_geist
inserter_all_from_assembling_machine_3_electric_furnace,18,16,20,24,20,20,16,16,24
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,18,16,20,24,20,20,16,16,24
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,0,0,20,24,20,20,16,0,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,0,0,20,24,20,20,16,0,16
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_input,0,16,0,0,0,0,0,16,8
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_input_circuit_enabled,0,16,0,0,0,0,0,16,8
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_output,18,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_output_circuit_enabled,18,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack,56,56,64,56,56,56,64,64,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56,56,64,56,56,52,64,64,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,52,48,64,8,56,56,64,64,32
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,52,48,64,8,56,52,64,64,32
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_input,0,8,0,24,0,0,0,0,24
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_input_circuit_enabled,0,8,0,24,0,0,0,0,24
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_output,4,0,0,24,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack_to_underground_output_circuit_enabled,4,0,0,24,0,0,0,0,0
inserter_all_from_assembling_machine_3_rail,56,56,64,56,56,56,64,64,56
inserter_all_from_assembling_machine_3_rail_circuit_enabled,0,0,64,0,0,0,64,64,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56,56,64,56,56,56,64,64,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,0,0,64,0,0,0,64,64,56
inserter_all_from_assembling_machine_3_rail_to_steel_chest,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_rail_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_belt,98,160,99,112,109,109,152,122,100
inserter_all_from_belt_circuit_enabled,90,112,91,80,76,76,128,96,56
inserter_all_from_belt_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_building,468,576,626,532,464,464,488,496,528
inserter_all_from_building_circuit_enabled,224,432,626,396,316,320,432,452,504
inserter_all_from_building_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_car,0,0,0,0,0,0,0,0,0
inserter_all_from_car_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_car_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_car_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon,0,0,0,0,0,0,64,64,0
inserter_all_from_cargo_wagon_circuit_enabled,0,0,0,0,0,0,64,64,0
inserter_all_from_cargo_wagon_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_rail,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_rail_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_cryogenic_plant_plastic_bar,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electric_furnace,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,32,32,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,32,32,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_productivity_module,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_productivity_module_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar,0,16,20,0,12,12,0,0,24
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,0,16,20,0,12,12,0,0,24
inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,16,20,0,12,12,0,0,24
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,16,20,0,12,12,0,0,24
inserter_all_from_chest,43,73,49,1,37,37,33,33,37
inserter_all_from_chest_circuit_enabled,42,40,48,0,24,24,32,32,36
inserter_all_from_chest_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar,30,32,14,40,20,20,32,32,12
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,0,24,14,40,20,20,32,32,0
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,32,14,40,20,20,32,32,0
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,24,14,40,20,20,32,32,0
inserter_all_from_cryogenic_plant_plastic_bar_to_steel_chest,0,0,0,0,0,0,0,0,12
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_underground_input,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_wooden_chest,30,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace,36,48,40,40,40,40,48,48,48
inserter_all_from_electric_furnace_circuit_enabled,36,48,40,40,40,40,48,48,48
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace,36,48,40,40,40,40,0,48,48
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,36,48,40,40,40,40,0,48,48
inserter_all_from_electric_furnace_to_steel_chest,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_turbo_transport_belt,0,0,0,0,0,0,48,0,0
inserter_all_from_electric_furnace_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,48,0,0
inserter_all_from_electric_furnace_to_underground_input,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_underground_output,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_underground_output_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_wooden_chest,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_wooden_chest_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit,30,48,34,40,32,32,32,32,36
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,30,40,34,40,32,32,32,32,36
inserter_all_from_electromagnetic_plant_advanced_circuit_to_assembling_machine_3_electric_furnace,0,0,0,0,0,0,0,0,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_assembling_machine_3_electric_furnace_circuit_enabled,0,0,0,0,0,0,0,0,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,0,0,0,16,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,0,0,0,16,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest,0,48,34,0,12,12,0,0,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest_circuit_enabled,0,40,34,0,12,12,0,0,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,18,0,0,24,20,20,32,32,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,18,0,0,24,20,20,32,32,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_underground_input,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_underground_output,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_underground_output_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_wooden_chest,12,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_advanced_circuit_to_wooden_chest_circuit_enabled,12,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit,42,56,48,56,44,44,48,48,48
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,42,48,48,56,32,32,48,48,48
inserter_all_from_electromagnetic_plant_electronic_circuit_to_car,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_car_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0,0,0,0,0,0,32,32,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,32,32,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,30,32,34,40,20,20,0,0,36
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30,32,34,40,20,20,0,0,36
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,12,16,0,16,12,12,16,16,12
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,12,16,0,16,12,12,16,16,12
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest,0,8,14,0,12,12,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest_circuit_enabled,0,0,14,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_underground_input,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_electronic_circuit_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_electromagnetic_plant_productivity_module,12,16,14,16,12,12,16,16,12
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,12,16,14,16,12,12,16,16,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,12,16,14,16,12,12,16,0,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12,16,14,16,12,12,16,0,12
inserter_all_from_electromagnetic_plant_productivity_module_to_underground_input,0,0,0,0,0,0,0,16,0
inserter_all_from_electromagnetic_plant_productivity_module_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,16,0
inserter_all_from_electromagnetic_plant_productivity_module_to_underground_output,0,0,0,0,0,0,0,0,0
inserter_all_from_express_transport_belt,0,0,0,0,0,0,0,0,0
inserter_all_from_express_transport_belt_to_chemical_plant_plastic_bar,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable,72,80,170,80,64,64,64,56,84
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,30,40,170,40,32,32,32,32,72
inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,30,48,68,40,32,32,32,32,24
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30,40,68,40,32,32,32,32,24
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,42,32,102,40,32,32,32,24,48
