metric,property,correlation,strength,range,impact
electric_network_update,stack_inserter_from_building,0.825881724866707,0.825881724866707,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_building,0.821167753512003,0.821167753512003,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_building,0.821167753512003,0.821167753512003,High,increase
electric_network_update,inserter_all_to_building,0.8198459934651274,0.8198459934651274,High,increase
electric_network_update,stack_inserter_to_building,0.8198459934651274,0.8198459934651274,High,increase
electric_network_update,inserter_all_from_assembling_machine_3_electric_furnace,0.8194581128671953,0.8194581128671953,High,increase
electric_network_update,recipe_electric_furnace,0.8194581128671953,0.8194581128671953,High,increase
electric_network_update,stack_inserter_from_assembling_machine_3_electric_furnace,0.8194581128671953,0.8194581128671953,High,increase
electric_network_update,electromagnetic_plant,0.8184039515450554,0.8184039515450554,High,increase
electric_network_update,inserter_all_from_wooden_chest,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,inserter_all_from_wooden_chest_circuit_enabled,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,inserter_all_to_wooden_chest,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,inserter_all_to_wooden_chest_circuit_enabled,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,stack_inserter_from_wooden_chest,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,stack_inserter_from_wooden_chest_circuit_enabled,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,stack_inserter_to_wooden_chest,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,stack_inserter_to_wooden_chest_circuit_enabled,0.8151662271211905,0.8151662271211905,High,increase
electric_network_update,wooden_chest,0.8151662271211905,0.8151662271211905,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,0.8131756212992879,0.8131756212992879,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,0.8131756212992879,0.8131756212992879,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_foundry_casting_iron,0.8123930877539229,0.8123930877539229,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_foundry_casting_iron,0.8123930877539229,0.8123930877539229,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electric_furnace_to_wooden_chest,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electric_furnace_to_wooden_chest_circuit_enabled,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_wooden_chest_to_assembling_machine_3_electric_furnace,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_wooden_chest_to_assembling_machine_3_electric_furnace_circuit_enabled,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_electric_furnace_to_wooden_chest,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_electric_furnace_to_wooden_chest_circuit_enabled,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_wooden_chest_to_assembling_machine_3_electric_furnace,0.8121825355627537,0.8121825355627537,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_wooden_chest_to_assembling_machine_3_electric_furnace_circuit_enabled,0.8121825355627537,0.8121825355627537,High,increase
entity_update,inserter_all_from_underground_input_to_assembling_machine_3_rail,0.811171671503253,0.811171671503253,High,increase
entity_update,stack_inserter_from_underground_input_to_assembling_machine_3_rail,0.811171671503253,0.811171671503253,High,increase
control_behavior_update,inserter_all_direct_insertion_circuit_enabled,0.8100914036260404,0.8100914036260404,High,increase
control_behavior_update,stack_inserter_direct_insertion_circuit_enabled,0.8100914036260404,0.8100914036260404,High,increase
control_behavior_update,inserter_all_from_building_circuit_enabled,0.805986086983072,0.805986086983072,High,increase
control_behavior_update,stack_inserter_from_building_circuit_enabled,0.805986086983072,0.805986086983072,High,increase
electric_heat_fluid_circuit_update,recipe_plastic_bar,0.8006364457282091,0.8006364457282091,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_building,0.8006316893576277,0.8006316893576277,High,increase
electric_heat_fluid_circuit_update,stack_inserter_to_building,0.8006316893576277,0.8006316893576277,High,increase
entity_update,inserter_all_from_belt,0.7975670217292616,0.7975670217292616,High,increase
entity_update,stack_inserter_from_belt,0.7975670217292616,0.7975670217292616,High,increase
trains,inserter_all_to_chest,0.7943845540622273,0.7943845540622273,High,increase
trains,stack_inserter_to_chest,0.7943845540622273,0.7943845540622273,High,increase
entity_update,express_transport_belt,0.7929457515346419,0.7929457515346419,High,increase
entity_update,inserter_all_from_cargo_wagon_to_turbo_transport_belt,0.7929457515346419,0.7929457515346419,High,increase
entity_update,stack_inserter_from_cargo_wagon_to_turbo_transport_belt,0.7929457515346419,0.7929457515346419,High,increase
entity_update,express_splitter,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_electromagnetic_plant_productivity_module_to_underground_input,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_electromagnetic_plant_productivity_module_to_underground_output,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_express_transport_belt,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_express_transport_belt_to_chemical_plant_plastic_bar,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_foundry_casting_steel_to_cargo_wagon,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_foundry_casting_steel_to_underground_input,0.7929457515346416,0.7929457515346416,High,increase
entity_update,inserter_all_from_turbo_transport_belt_to_cargo_wagon,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_chemical_plant_plastic_bar_to_cargo_wagon,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_electromagnetic_plant_productivity_module_to_underground_input,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_electromagnetic_plant_productivity_module_to_underground_output,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_express_transport_belt,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_express_transport_belt_to_chemical_plant_plastic_bar,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_foundry_casting_steel_to_cargo_wagon,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_foundry_casting_steel_to_underground_input,0.7929457515346416,0.7929457515346416,High,increase
entity_update,stack_inserter_from_turbo_transport_belt_to_cargo_wagon,0.7929457515346416,0.7929457515346416,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_wooden_chest,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_wooden_chest_circuit_enabled,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_wooden_chest,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_wooden_chest_circuit_enabled,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_wooden_chest,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_wooden_chest_circuit_enabled,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,stack_inserter_to_wooden_chest,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,stack_inserter_to_wooden_chest_circuit_enabled,0.7925852159606612,0.7925852159606612,High,increase
electric_heat_fluid_circuit_update,wooden_chest,0.7925852159606612,0.7925852159606612,High,increase
whole_update,inserter_all_from_belt,0.7920047466390122,0.7920047466390122,High,increase
whole_update,stack_inserter_from_belt,0.7920047466390122,0.7920047466390122,High,increase
electric_heat_fluid_circuit_update,pipe_to_ground,0.7910434435821511,0.7910434435821511,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_assembling_machine_3_electric_furnace,0.7894112191839638,0.7894112191839638,High,increase
electric_heat_fluid_circuit_update,stack_inserter_to_assembling_machine_3_electric_furnace,0.7894112191839638,0.7894112191839638,High,increase
control_behavior_update,inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,0.7884550965215716,0.7884550965215716,High,increase
control_behavior_update,stack_inserter_from_assembling_machine_3_electric_furnace_circuit_enabled,0.7884550965215716,0.7884550965215716,High,increase
electric_network_update,recipe_plastic_bar,0.7871746895863284,0.7871746895863284,High,increase
fluid_flow_update,pipe_to_ground,0.7852961660344926,0.7852961660344926,High,increase
whole_update,inserter_all_from_underground_input_to_assembling_machine_3_rail,0.7824814400097989,0.7824814400097989,High,increase
whole_update,stack_inserter_from_underground_input_to_assembling_machine_3_rail,0.7824814400097989,0.7824814400097989,High,increase
electric_network_update,inserter_all_from_assembling_machine_3_production_science_pack,0.7822204700566384,0.7822204700566384,High,increase
electric_network_update,recipe_production_science_pack,0.7822204700566384,0.7822204700566384,High,increase
electric_network_update,stack_inserter_from_assembling_machine_3_production_science_pack,0.7822204700566384,0.7822204700566384,High,increase
entity_update,beacons_per_electromagnetic_plant_copper_cable_recipe,0.7820006178805171,0.7820006178805171,High,increase
control_behavior_update,inserter_all_from_underground_input_to_electromagnetic_plant_productivity_module,-0.7799826428585993,0.7799826428585993,High,decrease
control_behavior_update,stack_inserter_from_underground_input_to_electromagnetic_plant_productivity_module,-0.7799826428585993,0.7799826428585993,High,decrease
whole_update,turbo_underground_belt,0.7790302515133506,0.7790302515133506,High,increase
fluid_flow_update,recipe_casting_iron,0.777575123338059,0.777575123338059,High,increase
electric_network_update,foundry,0.7773370240268256,0.7773370240268256,High,increase
whole_update,recipe_casting_iron_stick,0.7772908548350188,0.7772908548350188,High,increase
trains,inserter_all_from_cargo_wagon,0.7748245885404754,0.7748245885404754,High,increase
trains,stack_inserter_from_cargo_wagon,0.7748245885404754,0.7748245885404754,High,increase
whole_update,express_transport_belt,0.7728241691029881,0.7728241691029881,High,increase
whole_update,express_splitter,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_electromagnetic_plant_productivity_module_to_underground_input,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_electromagnetic_plant_productivity_module_to_underground_output,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_express_transport_belt,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_express_transport_belt_to_chemical_plant_plastic_bar,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_foundry_casting_steel_to_cargo_wagon,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_foundry_casting_steel_to_underground_input,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_turbo_transport_belt_to_cargo_wagon,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_chemical_plant_plastic_bar_to_cargo_wagon,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_electromagnetic_plant_productivity_module_to_underground_input,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_electromagnetic_plant_productivity_module_to_underground_output,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_express_transport_belt,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_express_transport_belt_to_chemical_plant_plastic_bar,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_foundry_casting_steel_to_cargo_wagon,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_foundry_casting_steel_to_underground_input,0.7728241691029877,0.7728241691029877,High,increase
whole_update,stack_inserter_from_turbo_transport_belt_to_cargo_wagon,0.7728241691029877,0.7728241691029877,High,increase
whole_update,inserter_all_from_cargo_wagon_to_turbo_transport_belt,0.7728241691029872,0.7728241691029872,High,increase
whole_update,stack_inserter_from_cargo_wagon_to_turbo_transport_belt,0.7728241691029872,0.7728241691029872,High,increase
electric_network_update,inserter_all_to_assembling_machine_3_electric_furnace,0.7725420556300346,0.7725420556300346,High,increase
electric_network_update,stack_inserter_to_assembling_machine_3_electric_furnace,0.7725420556300346,0.7725420556300346,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_electromagnetic_plant_electronic_circuit,0.7723469594637467,0.7723469594637467,High,increase
electric_heat_fluid_circuit_update,stack_inserter_to_electromagnetic_plant_electronic_circuit,0.7723469594637467,0.7723469594637467,High,increase
whole_update,beacons_per_electromagnetic_plant_copper_cable_recipe,0.7714325148626763,0.7714325148626763,High,increase
trains,inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon,0.7675220352674594,0.7675220352674594,High,increase
trains,stack_inserter_from_foundry_casting_copper_cable_to_cargo_wagon,0.7675220352674594,0.7675220352674594,High,increase
electric_heat_fluid_circuit_update,recipe_electronic_circuit,0.7660880711541126,0.7660880711541126,High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,0.7657573709885248,0.7657573709885248,High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,0.7657573709885248,0.7657573709885248,High,increase
control_behavior_update,inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,0.7656120082872949,0.7656120082872949,High,increase
control_behavior_update,stack_inserter_to_assembling_machine_3_production_science_pack_circuit_enabled,0.7656120082872949,0.7656120082872949,High,increase
electric_heat_fluid_circuit_update,recipe_casting_iron,0.7646738572653218,0.7646738572653218,High,increase
trains,inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0.7634962774716583,0.7634962774716583,High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0.7634962774716583,0.7634962774716583,High,increase
fluid_flow_update,inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,0.763238414392245,0.763238414392245,High,increase
fluid_flow_update,stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,0.763238414392245,0.763238414392245,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electromagnetic_plant_electronic_circuit,0.7577199002499433,0.7577199002499433,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_electromagnetic_plant_electronic_circuit,0.7577199002499433,0.7577199002499433,High,increase
entity_update,turbo_underground_belt,0.7548044043718948,0.7548044043718948,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electromagnetic_plant_advanced_circuit,0.7533442905043979,0.7533442905043979,High,increase
electric_heat_fluid_circuit_update,recipe_advanced_circuit,0.7533442905043979,0.7533442905043979,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_electromagnetic_plant_advanced_circuit,0.7533442905043979,0.7533442905043979,High,increase
fluid_flow_update,inserter_all_from_assembling_machine_3_electric_furnace,0.7532806693105079,0.7532806693105079,High,increase
fluid_flow_update,recipe_electric_furnace,0.7532806693105079,0.7532806693105079,High,increase
fluid_flow_update,stack_inserter_from_assembling_machine_3_electric_furnace,0.7532806693105079,0.7532806693105079,High,increase
electric_network_update,inserter_all_from_foundry_casting_iron,0.7525670699363183,0.7525670699363183,High,increase
electric_network_update,stack_inserter_from_foundry_casting_iron,0.7525670699363183,0.7525670699363183,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,0.751869289505265,0.751869289505265,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,0.751869289505265,0.751869289505265,High,increase
electric_network_update,inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,0.7506729662066743,0.7506729662066743,High,increase
electric_network_update,stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,0.7506729662066743,0.7506729662066743,High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_advanced_circuit,0.7495688658840137,0.7495688658840137,High,increase
electric_network_update,recipe_advanced_circuit,0.7495688658840137,0.7495688658840137,High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_advanced_circuit,0.7495688658840137,0.7495688658840137,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_assembling_machine_3_production_science_pack,0.7492100336013376,0.7492100336013376,High,increase
electric_heat_fluid_circuit_update,recipe_production_science_pack,0.7492100336013376,0.7492100336013376,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_assembling_machine_3_production_science_pack,0.7492100336013376,0.7492100336013376,High,increase
electric_network_update,assembling_machine_3,0.748402487120401,0.748402487120401,High,increase
trains,inserter_all_from_cargo_wagon_circuit_enabled,0.7481207489127821,0.7481207489127821,High,increase
trains,stack_inserter_from_cargo_wagon_circuit_enabled,0.7481207489127821,0.7481207489127821,High,increase
entity_update,recipe_casting_iron_stick,0.745327834410082,0.745327834410082,High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_electronic_circuit,0.7426109812520099,0.7426109812520099,High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_electronic_circuit,0.7426109812520099,0.7426109812520099,High,increase
fluid_flow_update,inserter_all_from_foundry_casting_iron,0.7417722117180534,0.7417722117180534,High,increase
fluid_flow_update,stack_inserter_from_foundry_casting_iron,0.7417722117180534,0.7417722117180534,High,increase
electric_network_update,pipe_to_ground,0.7412817221665696,0.7412817221665696,High,increase
electric_heat_fluid_circuit_update,pipe,0.7399279323567798,0.7399279323567798,High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,0.7369617898953585,0.7369617898953585,High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,0.7369617898953585,0.7369617898953585,High,increase
fluid_flow_update,recipe_plastic_bar,0.7355341620409923,0.7355341620409923,High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.729201736562713,0.729201736562713,High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.729201736562713,0.729201736562713,High,increase
electric_network_update,pipe,0.7276875723420906,0.7276875723420906,High,increase
trains,inserter_all_from_chest,0.7263643137333733,0.7263643137333733,High,increase
trains,stack_inserter_from_chest,0.7263643137333733,0.7263643137333733,High,increase
electric_network_update,inserter_all_to_electromagnetic_plant_electronic_circuit,0.7256413051942562,0.7256413051942562,High,increase
electric_network_update,stack_inserter_to_electromagnetic_plant_electronic_circuit,0.7256413051942562,0.7256413051942562,High,increase
transport_lines_update,inserter_all_from_underground_input_to_assembling_machine_3_rail,0.7255711500576522,0.7255711500576522,High,increase
transport_lines_update,stack_inserter_from_underground_input_to_assembling_machine_3_rail,0.7255711500576522,0.7255711500576522,High,increase
control_behavior_update,inserter_all_from_underground_input_to_assembling_machine_3_rail,-0.725115438927127,0.725115438927127,High,decrease
control_behavior_update,stack_inserter_from_underground_input_to_assembling_machine_3_rail,-0.725115438927127,0.725115438927127,High,decrease
