save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
14_abucnasty,2,86707.071,1.204,0.51,5.017,830.3821034388303,40.86209244649896,72000,2.0.66,windows-x86_64
14_abucnasty,3,85566.651,1.188,0.481,5.874,841.4493165100034,40.86209244649896,72000,2.0.66,windows-x86_64
14_abucnasty,4,85025.311,1.181,0.498,4.822,846.8066644296073,40.86209244649896,72000,2.0.66,windows-x86_64
14_abucnasty,5,85646.733,1.19,0.505,5.117,840.6625387567324,40.86209244649896,72000,2.0.66,windows-x86_64
08_lady_meyneth,0,84977.282,1.18,0.491,8.154,847.2852779640563,41.348546354880696,72000,2.0.66,windows-x86_64
08_lady_meyneth,1,85546.541,1.188,0.505,9.786,841.6471216527622,41.348546354880696,72000,2.0.66,windows-x86_64
08_lady_meyneth,2,85118.887,1.182,0.514,8.628,845.8757220356981,41.348546354880696,72000,2.0.66,windows-x86_64
08_lady_meyneth,3,84721.855,1.177,0.502,9.39,849.8397491414701,41.348546354880696,72000,2.0.66,windows-x86_64
08_lady_meyneth,4,85195.351,1.183,0.49,8.455,845.11653693404,41.348546354880696,72000,2.0.66,windows-x86_64
08_lady_meyneth,5,85357.868,1.186,0.508,9.057,843.5074784201498,41.348546354880696,72000,2.0.66,windows-x86_64
12_phlap,0,84372.481,1.172,0.603,4.563,853.3588102025825,42.00214943657305,72000,2.0.66,windows-x86_64
12_phlap,1,85242.16,1.184,0.615,6.274,844.6524583609801,42.00214943657305,72000,2.0.66,windows-x86_64
12_phlap,2,84060.742,1.168,0.621,4.731,856.5234886934498,42.00214943657305,72000,2.0.66,windows-x86_64
12_phlap,3,84460.193,1.173,0.582,4.683,852.4725961732055,42.00214943657305,72000,2.0.66,windows-x86_64
12_phlap,4,84693.869,1.176,0.607,4.903,850.1205677591608,42.00214943657305,72000,2.0.66,windows-x86_64
12_phlap,5,85754.811,1.191,0.594,5.05,839.6030398807595,42.00214943657305,72000,2.0.66,windows-x86_64
hybrid_01_abucnasty,0,79931.045,1.11,0.375,6.758,900.7764129694539,49.6442494427568,72000,2.0.66,windows-x86_64
hybrid_01_abucnasty,1,80031.127,1.112,0.395,6.233,899.6499574471818,49.6442494427568,72000,2.0.66,windows-x86_64
hybrid_01_abucnasty,2,80751.387,1.122,0.385,6.523,891.6255518929971,49.6442494427568,72000,2.0.66,windows-x86_64
hybrid_01_abucnasty,3,80898.217,1.124,0.404,6.138,890.0072544244083,49.6442494427568,72000,2.0.66,windows-x86_64
hybrid_01_abucnasty,4,80348.568,1.116,0.375,7.378,896.0956217664016,49.6442494427568,72000,2.0.66,windows-x86_64
hybrid_01_abucnasty,5,80639.212,1.12,0.396,5.675,892.8658677865056,49.6442494427568,72000,2.0.66,windows-x86_64
hybrid_05_thaeln_abucnasty,0,78821.766,1.095,0.431,4.902,913.4532712702731,50.917273690834094,72000,2.0.66,windows-x86_64
hybrid_05_thaeln_abucnasty,1,79968.296,1.111,0.426,5.377,900.3568114043595,50.917273690834094,72000,2.0.66,windows-x86_64
hybrid_05_thaeln_abucnasty,2,79632.109,1.106,0.436,4.566,904.1578943991047,50.917273690834094,72000,2.0.66,windows-x86_64
hybrid_05_thaeln_abucnasty,3,80069.995,1.112,0.424,5.321,899.2132446117926,50.917273690834094,72000,2.0.66,windows-x86_64
hybrid_05_thaeln_abucnasty,4,80625.561,1.12,0.42,6.139,893.0170420767677,50.917273690834094,72000,2.0.66,windows-x86_64
hybrid_05_thaeln_abucnasty,5,79425.165,1.103,0.415,5.024,906.5136975163981,50.917273690834094,72000,2.0.66,windows-x86_64
hybrid_06_abucnasty,0,78697.436,1.093,0.402,4.717,914.8963887463881,0,72000,2.0.66,windows-x86_64
hybrid_06_abucnasty,1,78885.256,1.096,0.415,4.602,912.7180876487237,0,72000,2.0.66,windows-x86_64
hybrid_06_abucnasty,2,79546.012,1.105,0.399,4.807,905.1365139461674,0,72000,2.0.66,windows-x86_64
hybrid_06_abucnasty,3,79869.898,1.109,0.406,4.588,901.4660316706552,0,72000,2.0.66,windows-x86_64
hybrid_06_abucnasty,4,79657.805,1.106,0.419,4.643,903.8662313128011,0,72000,2.0.66,windows-x86_64
hybrid_06_abucnasty,5,79553.049,1.105,0.401,4.794,905.05644855925,0,72000,2.0.66,windows-x86_64
