number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q1,rate_Q1,rate_Q1,rate_voided
2,4060,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,240.05,1137.08,24.01,2.4,0.27,1163.76
2,3805,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.01,1136.88,24,2.4,0.27,1163.5500000000002
2,3439,speed-2-Q5|speed-2-Q5,,,240.03,1302.14,24,2.4,0.27,1328.8100000000002
2,13325,efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.01,800.04,24,2.4,0.27,826.7099999999999
2,6893,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.02,892.84,24,2.4,0.27,919.51
2,5709,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.02,945.53,24,2.4,0.27,972.1999999999999
2,4875,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1003.17,24,2.4,0.27,1029.8400000000001
2,5403,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.03,945.58,24,2.4,0.27,972.25
2,4496,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.03,1066.78,24,2.4,0.27,1093.45
2,7619,efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.01,892.78,24,2.4,0.27,919.4499999999999
2,6439,efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.02,945.53,24,2.4,0.27,972.1999999999999
