number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q1,rate_Q1,rate_Q1,rate_voided
2,880,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.03,1066.8,24,2.4,0.27,1093.47
2,892,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.03,1066.78,24,2.4,0.27,1093.45
2,943,speed-2-Q5|efficiency-3-Q5,,,240.2,1004.03,24.02,2.4,0.27,1030.72
2,968,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.05,1003.38,24,2.4,0.27,1030.05
2,984,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,,240.23,1004.12,24.02,2.4,0.27,1030.81
2,1074,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.17,946.11,24.02,2.4,0.27,972.8
2,1135,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.1,945.86,24.01,2.4,0.27,972.54
2,1174,speed-1-Q5|efficiency-3-Q5,,,240.09,945.81,24.01,2.4,0.27,972.49
2,1281,efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.09,945.83,24.01,2.4,0.27,972.51
2,1372,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.13,893.23,24.01,2.4,0.27,919.91
2,1517,efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.07,893.02,24.01,2.4,0.27,919.7
2,2658,efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.03,800.1,24,2.4,0.27,826.77
